,Date,Product,Price
0,2023-08-22,Hindus in Hindu Rashtra (Eighth-Class Citizens and Victims of State-Sanctioned Apartheid),259
1,2023-08-22,My First Mini Library : Boxset of 10 Board Books,399
2,2023-08-22,Atomic Habits: the life-changing million-copy #1 bestseller,386
3,2023-08-22,Ikigai,353.
4,2023-08-22,The Psychology Of Money,0
5,2023-08-22,Shrimad Bhagwat Geeta Yatharoop,265
6,2023-08-22,Indian Polity for UPSC (English| 7th Edition) |Civil Services Exam| State Administrative Exams,189.
7,2023-08-22,Don't Believe Everything You Think (English),0
8,2023-08-22,The Power of Your Subconscious Mind,259
9,2023-08-22,Colouring Books for Kids (Pack of 12 Books),164.
10,2023-08-22,"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",0
11,2023-08-22,Brain Activity Book for Kids - 200+ Activities for Age 3+,292
12,2023-08-22,BlackBook of English Vocabulary March 2023 by Nikhil Gupta,148
13,2023-08-22,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",78
14,2023-08-22,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,699
15,2023-08-22,My First Book of Patterns Pencil Control: Practice Patterns (Pattern Writing),184
